Step,Action_Index,Indoor_Temp,Indoor_RH,Indoor_CO2,Outdoor_Temp,Outdoor_RH,Hour,AC_Status,Fan_Status,Next_Indoor_Temp,Next_Indoor_RH,Next_Indoor_CO2,Reward
108,19,23.912214,48.11275,765.08954,23.0,78.0,12.0,0.0,0.0,24.508867,47.191036,583.8507,-56.115
109,7,24.508867,47.191036,583.8507,25.0,69.0,13.0,1.0,1.0,23.962654,46.85776,635.1437,-52.2
110,19,23.962654,46.85776,635.1437,25.0,65.0,14.0,1.0,0.0,23.765137,45.888092,529.9857,-56.115
111,4,23.765137,45.888092,529.9857,26.0,61.0,15.0,1.0,1.0,21.81051,47.63081,584.5968,-52.25386047363281
112,4,21.81051,47.63081,584.5968,25.0,74.0,16.0,1.0,0.0,22.11274,50.45411,640.17786,-52.2
113,5,22.11274,50.45411,640.17786,24.0,78.0,17.0,1.0,0.0,22.566679,52.35286,696.3822,-52.2
114,23,22.566679,52.35286,696.3822,23.0,78.0,18.0,1.0,0.0,24.10761,51.444244,538.9778,-56.115
115,17,24.10761,51.444244,538.9778,22.0,83.0,19.0,1.0,1.0,23.862965,54.079067,473.9024,-56.115
116,13,23.862965,54.079067,473.9024,21.0,88.0,20.0,1.0,1.0,22.947899,56.754665,445.0301,-56.115
117,11,22.947899,56.754665,445.0301,20.0,94.0,21.0,1.0,1.0,24.525331,55.847763,469.9943,-52.2
118,15,24.525331,55.847763,469.9943,20.0,94.0,22.0,1.0,0.0,24.288958,52.84348,441.65765,-56.115
119,11,24.288958,52.84348,441.65765,20.0,94.0,23.0,1.0,1.0,24.916899,53.77207,469.34515,-52.2
120,2,24.916899,53.77207,469.34515,20.0,100.0,0.0,1.0,0.0,23.614904,57.84675,491.9234,-52.2
121,19,23.614904,57.84675,491.9234,21.0,94.0,1.0,1.0,0.0,24.628353,57.469975,451.5589,-56.115
122,16,24.628353,57.469975,451.5589,20.0,100.0,2.0,1.0,1.0,24.298094,56.605797,434.7485,-56.115
123,1,24.298094,56.605797,434.7485,20.0,100.0,3.0,1.0,1.0,23.14721,58.884174,463.85187,-52.2
124,12,23.14721,58.884174,463.85187,20.0,100.0,4.0,1.0,0.0,23.178947,58.853985,440.59042,-3.915
125,4,23.178947,58.853985,440.59042,20.0,100.0,5.0,0.0,1.0,22.80524,59.586674,470.34573,-52.2
126,18,22.80524,59.586674,470.34573,20.0,100.0,6.0,1.0,0.0,23.745182,58.362057,441.8158,-56.115
127,14,23.745182,58.362057,441.8158,20.0,100.0,7.0,1.0,1.0,23.49963,58.41329,431.70322,-56.115
128,18,23.49963,58.41329,431.70322,21.0,94.0,8.0,1.0,1.0,24.048462,56.058014,438.9298,-56.115
129,7,24.048462,56.058014,438.9298,21.0,94.0,9.0,1.0,1.0,24.496489,54.447983,495.29712,-52.2
130,22,24.496489,54.447983,495.29712,23.0,83.0,10.0,1.0,0.0,24.953302,52.71571,466.24353,-56.115
131,17,24.953302,52.71571,466.24353,25.0,69.0,11.0,1.0,1.0,23.857277,52.94967,453.15674,-56.115
132,18,23.857277,52.94967,453.15674,25.0,74.0,12.0,1.0,1.0,24.04038,52.042675,447.8636,-56.115
133,4,24.04038,52.042675,447.8636,25.0,69.0,13.0,1.0,1.0,23.86388,52.486965,501.8227,-52.2
134,18,23.86388,52.486965,501.8227,26.0,65.0,14.0,1.0,0.0,23.877651,51.494034,469.18005,-56.115
135,15,23.877651,51.494034,469.18005,26.0,65.0,15.0,1.0,1.0,21.848598,50.303204,455.73627,-56.149383544921875
136,3,21.848598,50.303204,455.73627,26.0,61.0,16.0,1.0,1.0,21.73033,50.400883,507.08148,-52.309085845947266
137,16,21.73033,50.400883,507.08148,25.0,65.0,17.0,1.0,0.0,21.844194,51.94263,472.82413,-56.15141296386719
138,4,21.844194,51.94263,472.82413,24.0,69.0,18.0,1.0,1.0,22.135654,54.562813,493.95013,-52.2
139,20,22.135654,54.562813,493.95013,23.0,83.0,19.0,1.0,0.0,23.544418,54.78107,452.47092,-56.115
140,9,23.544418,54.78107,452.47092,22.0,83.0,20.0,1.0,1.0,24.479023,55.415504,476.5298,-52.2
141,2,24.479023,55.415504,476.5298,22.0,88.0,21.0,1.0,0.0,23.465693,58.66267,498.66708,-52.2
142,19,23.465693,58.66267,498.66708,21.0,94.0,22.0,1.0,0.0,24.82411,55.556633,454.59354,-56.115
143,7,24.82411,55.556633,454.59354,21.0,94.0,23.0,1.0,1.0,25.520432,56.912365,477.1802,-52.2
144,15,25.520432,56.912365,477.1802,21.0,94.0,0.0,1.0,0.0,24.280111,55.675083,444.69287,-56.115
145,23,24.280111,55.675083,444.69287,21.0,88.0,1.0,1.0,1.0,24.774172,52.79717,431.48825,-56.115
146,14,24.774172,52.79717,431.48825,21.0,88.0,2.0,1.0,1.0,23.258175,53.153915,425.64493,-56.115
147,22,23.258175,53.153915,425.64493,20.0,94.0,3.0,1.0,1.0,23.954197,53.584778,423.3899,-56.115
148,13,23.954197,53.584778,423.3899,20.0,94.0,4.0,1.0,1.0,23.123892,55.33727,424.69925,-56.115
149,23,23.123892,55.33727,424.69925,20.0,94.0,5.0,1.0,1.0,24.240973,54.005196,422.94144,-56.115
150,11,24.240973,54.005196,422.94144,20.0,94.0,6.0,1.0,1.0,25.436874,53.662186,449.59003,-52.2
